metric,is_primary,control_mean,test_mean,absolute_diff,relative_uplift,t_stat,p_value,ci_low,ci_high,significant_05
cr_apply,True,0.081,0.1264,0.04540000000000001,0.5604938271604939,7.465751850662111,9.000916726035596e-14,0.03347976095561928,0.05732023904438074,True
ctr,False,0.105,0.2208,0.1158,1.102857142857143,15.874171090676823,5.274444688442808e-56,0.10150043910135274,0.13009956089864724,True
cr_home_apply,False,0.081,0.1264,0.04540000000000001,0.5604938271604939,7.465751850662111,9.000916726035596e-14,0.03347976095561928,0.05732023904438074,True
approval_rate,False,0.0666,0.1264,0.059800000000000006,0.8978978978978979,10.177429639092304,3.3509786704161474e-24,0.048282244456345574,0.07131775554365444,True
arpu,False,1.0733580000000003,2.803924,1.7305659999999996,1.6122915187663382,10.849885243060355,3.0995434169626503e-27,1.4179023656126932,2.043229634387306,True
